HES,2020-10-28,Sep 2020,-0.71,-0.71,0,0
IBKR,2020-10-20,Sep 2020,0.53,0.53,0,0
KMI,2020-10-21,Sep 2020,0.21,0.21,0,0
MDLZ,2020-11-02,Sep 2020,0.63,0.63,0,0
MRO,2020-11-04,Sep 2020,-0.28,-0.28,0,0
MRVL,2020-12-03,Oct 2020,0.25,0.25,0,0
NYCB,2020-10-28,Sep 2020,0.23,0.23,0,0
OSH,2020-11-09,Sep 2020,-0.15,-0.15,0,0
SIRI,2020-10-22,Sep 2020,0.06,0.06,0,0
SNDR,2020-10-29,Sep 2020,0.31,0.31,0,0
TXG,2020-11-10,Sep 2020,-0.33,-0.33,0,0
UDR,2020-10-29,Sep 2020,0.5,0.5,0,0
WMB,2020-11-02,Sep 2020,0.27,0.27,0,0
LOW,2020-11-18,Oct 2020,1.97,1.98,0.01,0.5
PPG,2020-10-19,Sep 2020,1.92,1.93,0.01,0.5
AEP,2020-10-22,Sep 2020,1.46,1.47,0.01,0.6
CCI,2020-10-21,Sep 2020,1.55,1.56,0.01,0.6
MPWR,2020-10-29,Sep 2020,1.68,1.69,0.01,0.6
SNPS,2020-12-02,Oct 2020,1.57,1.58,0.01,0.6
TROW,2020-10-29,Sep 2020,2.53,2.55,0.02,0.7
ETR,2020-10-28,Sep 2020,2.42,2.44,0.02,0.8
INTC,2020-10-22,Sep 2020,1.1,1.11,0.01,0.9
NRG,2020-11-05,Sep 2020,1.01,1.02,0.01,0.9
ABC,2020-11-05,Sep 2020,1.87,1.89,0.02,1
CHRW,2020-10-27,Sep 2020,0.99,1,0.01,1
PEG,2020-10-30,Sep 2020,0.95,0.96,0.01,1
IBM,2020-10-19,Sep 2020,2.55,2.58,0.03,1.1
AON,2020-10-30,Sep 2020,1.51,1.53,0.02,1.3
CCL,2020-10-08,Aug 2020,-2.22,-2.19,0.03,1.3
MKC,2020-09-29,Aug 2020,0.76,0.77,0.01,1.3
AAL,2020-10-22,Sep 2020,-5.62,-5.54,0.08,1.4
AVGO,2020-12-10,Oct 2020,6.26,6.35,0.09,1.4
CERN,2020-10-28,Sep 2020,0.71,0.72,0.01,1.4
IDA,2020-10-29,Sep 2020,1.99,2.02,0.03,1.5
NEE,2020-10-21,Sep 2020,0.66,0.67,0.01,1.5
