IP,2020-10-29,Sep 2020,0.48,0.71,0.23,47.9
BSX,2020-10-28,Sep 2020,0.25,0.37,0.12,48
CMI,2020-10-27,Sep 2020,2.41,3.57,1.16,48.1
CGNX,2020-10-28,Sep 2020,0.33,0.49,0.16,48.4
ICUI,2020-11-05,Sep 2020,1.28,1.9,0.62,48.4
JBL,2020-09-24,Aug 2020,0.66,0.98,0.32,48.4
SFM,2020-10-28,Sep 2020,0.35,0.52,0.17,48.5
KMPR,2020-11-02,Sep 2020,0.91,1.36,0.45,49.4
AIZ,2020-11-02,Sep 2020,0.94,1.41,0.47,50
BILL,2020-11-05,Sep 2020,-0.08,-0.04,0.04,50
DVN,2020-10-29,Sep 2020,-0.08,-0.04,0.04,50
FIVN,2020-10-29,Sep 2020,0.18,0.27,0.09,50
HAIN,2020-11-09,Sep 2020,0.18,0.27,0.09,50
NCR,2020-10-27,Sep 2020,0.36,0.54,0.18,50
PLAN,2020-11-24,Oct 2020,-0.1,-0.05,0.05,50
RYN,2020-10-28,Sep 2020,0.04,0.06,0.02,50
DFS,2020-10-21,Sep 2020,1.63,2.45,0.82,50.3
ORI,2020-10-22,Sep 2020,0.41,0.62,0.21,51.2
ADS,2020-10-29,Sep 2020,2.28,3.45,1.17,51.3
SKX,2020-10-29,Sep 2020,0.35,0.53,0.18,51.4
TXT,2020-10-29,Sep 2020,0.35,0.53,0.18,51.4
DOW,2020-10-22,Sep 2020,0.33,0.5,0.17,51.5
SNA,2020-10-22,Sep 2020,2.16,3.28,1.12,51.8
TDG,2020-11-12,Sep 2020,1.9,2.89,0.99,52.1
BURL,2020-11-24,Oct 2020,0.19,0.29,0.1,52.6
SYK,2020-10-29,Sep 2020,1.4,2.14,0.74,52.8
GTES,2020-11-03,Sep 2020,0.17,0.26,0.09,52.9
RL,2020-10-29,Sep 2020,0.94,1.44,0.5,53.1
MOH,2020-10-28,Sep 2020,2.19,3.36,1.17,53.4
SBUX,2020-10-29,Sep 2020,0.33,0.51,0.18,54.5
WTFC,2020-10-21,Sep 2020,1.08,1.67,0.59,54.6
SIVB,2020-10-22,Sep 2020,5.45,8.47,3.02,55.4
BR,2020-10-30,Sep 2020,0.63,0.98,0.35,55.5
TAP,2020-10-29,Sep 2020,1.04,1.62,0.58,55.7
GRMN,2020-10-28,Sep 2020,1.01,1.58,0.57,56.4
APA,2020-11-04,Sep 2020,-0.37,-0.16,0.21,56.7
FEYE,2020-10-27,Sep 2020,0.07,0.11,0.04,57.1
TSN,2020-11-16,Sep 2020,1.15,1.81,0.66,57.3
OLED,2020-10-29,Sep 2020,0.54,0.85,0.31,57.4
UGI,2020-11-18,Sep 2020,-0.33,-0.14,0.19,57.5
AFG,2020-10-28,Sep 2020,1.55,2.45,0.9,58
GMED,2020-10-28,Sep 2020,0.31,0.49,0.18,58
CBSH,2020-10-20,Sep 2020,0.67,1.06,0.39,58.2
STAY,2020-11-09,Sep 2020,0.12,0.19,0.07,58.3
LH,2020-10-27,Sep 2020,5.29,8.41,3.12,58.9
UTHR,2020-10-28,Sep 2020,2.41,3.84,1.43,59.3
EL,2020-11-02,Sep 2020,0.9,1.44,0.54,60
NET,2020-11-05,Sep 2020,-0.05,-0.02,0.03,60
WWE,2020-10-29,Sep 2020,0.35,0.56,0.21,60
TDOC,2020-10-28,Sep 2020,-0.33,-0.13,0.2,60.6
FHB,2020-10-23,Sep 2020,0.31,0.5,0.19,61.2
ROST,2020-11-19,Oct 2020,0.63,1.02,0.39,61.9
BIO,2020-10-29,Sep 2020,1.85,3,1.15,62.1
PNC,2020-10-14,Sep 2020,2.09,3.39,1.3,62.2
CMA,2020-10-20,Sep 2020,0.87,1.44,0.57,65.5
CBRE,2020-10-29,Sep 2020,0.44,0.73,0.29,65.9
DE,2020-11-25,Oct 2020,1.44,2.39,0.95,65.9
HIG,2020-10-29,Sep 2020,0.88,1.46,0.58,65.9
ALL,2020-11-04,Sep 2020,1.77,2.94,1.17,66.1
CVNA,2020-10-29,Sep 2020,-0.3,-0.1,0.2,66.6
NCNO,2020-12-09,Oct 2020,-0.09,-0.03,0.06,66.6
PTON,2020-11-05,Sep 2020,0.12,0.2,0.08,66.6
FANG,2020-11-02,Sep 2020,0.37,0.62,0.25,67.5
UMPQ,2020-10-21,Sep 2020,0.34,0.57,0.23,67.6
NXST,2020-11-05,Sep 2020,2.43,4.08,1.65,67.9
UI,2020-11-06,Sep 2020,1.47,2.47,1,68
DXC,2020-11-05,Sep 2020,0.38,0.64,0.26,68.4
WSM,2020-11-19,Oct 2020,1.52,2.56,1.04,68.4
WHR,2020-10-21,Sep 2020,4.1,6.91,2.81,68.5
AMZN,2020-10-29,Sep 2020,7.3,12.37,5.07,69.4
HOLX,2020-11-04,Sep 2020,1.22,2.07,0.85,69.6
SYY,2020-11-03,Sep 2020,0.2,0.34,0.14,70
ZEN,2020-10-29,Sep 2020,0.1,0.17,0.07,70
DIS,2020-11-12,Sep 2020,-0.68,-0.2,0.48,70.5
ZBH,2020-11-06,Sep 2020,1.05,1.81,0.76,72.3
TJX,2020-11-18,Oct 2020,0.41,0.71,0.3,73.1
TGT,2020-11-18,Oct 2020,1.61,2.79,1.18,73.2
GS,2020-10-14,Sep 2020,5.58,9.68,4.1,73.4
ALLY,2020-10-16,Sep 2020,0.72,1.25,0.53,73.6
KMX,2020-09-24,Aug 2020,1.03,1.79,0.76,73.7
HZNP,2020-11-02,Sep 2020,1,1.74,0.74,74
EXPE,2020-11-04,Sep 2020,-0.92,-0.22,0.7,76
VICI,2020-10-28,Sep 2020,0.42,0.74,0.32,76.1
AMED,2020-10-28,Sep 2020,1.27,2.24,0.97,76.3
RGA,2020-11-05,Sep 2020,1.98,3.51,1.53,77.2
TRGP,2020-11-05,Sep 2020,0.09,0.16,0.07,77.7
IT,2020-11-03,Sep 2020,0.51,0.91,0.4,78.4
AXTA,2020-10-21,Sep 2020,0.33,0.59,0.26,78.7
DT,2020-10-28,Sep 2020,0.1,0.18,0.08,80
BPOP,2020-10-28,Sep 2020,1.11,2,0.89,80.1
PAG,2020-10-22,Sep 2020,1.59,2.87,1.28,80.5
DOCU,2020-12-03,Oct 2020,0.12,0.22,0.1,83.3
SCI,2020-10-28,Sep 2020,0.43,0.79,0.36,83.7
ESTC,2020-12-02,Oct 2020,-0.2,-0.03,0.17,85
SNV,2020-10-20,Sep 2020,0.48,0.89,0.41,85.4
LFUS,2020-10-28,Sep 2020,1.15,2.16,1.01,87.8
FDX,2020-09-15,Aug 2020,2.59,4.87,2.28,88
NOV,2020-10-26,Sep 2020,-0.09,-0.01,0.08,88.8
FIVE,2020-12-02,Oct 2020,0.19,0.36,0.17,89.4
MAN,2020-10-20,Sep 2020,0.63,1.2,0.57,90.4
OMF,2020-10-26,Sep 2020,1.15,2.19,1.04,90.4
NWL,2020-10-30,Sep 2020,0.44,0.84,0.4,90.9
GM,2020-11-05,Sep 2020,1.47,2.83,1.36,92.5
NKE,2020-09-22,Aug 2020,0.48,0.95,0.47,97.9
PSX,2020-10-30,Sep 2020,-0.8,-0.01,0.79,98.7
CDAY,2020-11-05,Sep 2020,0.06,0.12,0.06,100
NWSA,2020-11-05,Sep 2020,0.04,0.08,0.04,100
PPC,2020-10-28,Sep 2020,0.33,0.66,0.33,100
XRX,2020-10-27,Sep 2020,0.24,0.48,0.24,100
FL,2020-11-20,Oct 2020,0.6,1.21,0.61,101.6
KSS,2020-11-17,Oct 2020,-0.43,0.01,0.44,102.3
LW,2020-10-07,Aug 2020,0.3,0.61,0.31,103.3
BFAM,2020-11-05,Sep 2020,-0.46,0.02,0.48,104.3
AGCO,2020-11-03,Sep 2020,1.02,2.09,1.07,104.9
FHN,2020-10-23,Sep 2020,0.17,0.35,0.18,105.8
SC,2020-10-28,Sep 2020,0.75,1.58,0.83,110.6
DKS,2020-11-24,Oct 2020,0.94,2.01,1.07,113.8
EEFT,2020-10-28,Sep 2020,0.52,1.12,0.6,115.3
HUBS,2020-11-05,Sep 2020,0.13,0.28,0.15,115.3
BMRN,2020-11-05,Sep 2020,0.25,0.54,0.29,116
GO,2020-11-10,Sep 2020,0.23,0.5,0.27,117.3
WORK,2020-12-01,Oct 2020,-0.05,0.01,0.06,120
XPO,2020-11-05,Sep 2020,0.38,0.84,0.46,121
ACI,2020-10-20,Aug 2020,0.27,0.6,0.33,122.2
